Codigo_Barrera,Descripcion,Subcategoria,Grupo,Codigo_Grupo
GB0101b,"A coordenação entre departamentos e administrações pode ser complexa, e os processos associados geralmente exigem tempo significativo",Desconexão entre as ações de curto prazo e os objetivos de longo prazo,Barreiras políticas,GB01
GB0101c,"Estamos em período de campanha eleitoral, o que pode impactar o processo de implementação de SbN",Desconexão entre as ações de curto prazo e os objetivos de longo prazo,Barreiras políticas,GB01
GB0101d,É prioritário obter resultados visíveis a curto prazo,Desconexão entre as ações de curto prazo e os objetivos de longo prazo,Barreiras políticas,GB01
GB0101e,Os processos de licitação costumam ser complexos e não há recursos específicos para a gestão de licitações voltadas para ações inovadoras,Desconexão entre as ações de curto prazo e os objetivos de longo prazo,Barreiras políticas,GB01
GB0102a,Existe tensão entre as agendas dos governos central e local e/ou são de partidos diferentes,Descontinuidade entre as ações de curto prazo e os planos de longo prazo,Barreiras políticas,GB01
GB0102b,Há mudanças frequentes nas autoridades locais ou outras administrações governantes,Descontinuidade entre as ações de curto prazo e os planos de longo prazo,Barreiras políticas,GB01
GB0102c,"Não há interesses comuns entre os municípios metropolitanos e os municípios distritais, o que pode afetar a aplicação das SbN",Descontinuidade entre as ações de curto prazo e os planos de longo prazo,Barreiras políticas,GB01
GB0102d,As políticas de austeridade podem afetar a aplicação das SbN,Descontinuidade entre as ações de curto prazo e os planos de longo prazo,Barreiras políticas,GB01
GB0103a,Existe um plano físico que pode afetar o desenvolvimento de SbN,Revisões de planos estratégicos que afetam a área do projeto,Barreiras políticas,GB01
GB0103b,Existe um plano estratégico temático que pode afetar o desenvolvimento de SbN,Revisões de planos estratégicos que afetam a área do projeto,Barreiras políticas,GB01
GB0104a,Existe um plano físico que pode afetar o desenvolvimento de SbN,Revisões de longo prazo de planos estratégicos que afetam a área do projeto,Barreiras políticas,GB01
GB0104b,Existe um plano estratégico temático que pode afetar o desenvolvimento de SbN,Revisões de longo prazo de planos estratégicos que afetam a área do projeto,Barreiras políticas,GB01
GB0201a,As autoridades tendem a priorizar abordagens baseadas em obras de infraestrutura cinza,Barreiras infraestruturais,Barreiras técnicas,GB02
GB0201b,Capacidade estrutural limitada dos edifícios afetados para suportar o peso da infraestrutura verde,Barreiras infraestruturais,Barreiras técnicas,GB02
GB0201c,Ausência de empresas de construção com experiência comprovada na construção de NBS no ambiente local.,Barreiras infraestruturais,Barreiras técnicas,GB02
GB0201d,Barreiras técnicas para a seleção de plantas e árvores e intervenções,Barreiras infraestruturais,Barreiras técnicas,GB02
GB0202a,As autoridades tendem a priorizar abordagens baseadas em obras de infraestrutura cinza,Localização das intervenções no espaço urbano,Barreiras técnicas,GB02
GB0301a,A legislação local básica não é cumprida,,Barreiras legais,GB03
GB0301b,O proprietário do terreno pode não estar interessado nas SbN,,Barreiras legais,GB03
GB0301c,O uso do terreno é restrito devido a condições legais,,Barreiras legais,GB03
GB0301d,As licenças locais para obras de construção podem causar atrasos,,Barreiras legais,GB03
GB0301e,Faltam regulamentos e portarias locais,,Barreiras legais,GB03
GB0301f,Falta de coordenação para uma colaboração público-privada,,Barreiras legais,GB03
GB0302a,Conflitos entre departamentos e/ou falta de colaboração,Barreiras organizacionais,Barreiras legais,GB03
GB0302b,Cultura de trabalho hierárquica vertical/horizontal,Barreiras organizacionais,Barreiras legais,GB03
GB0302c,Falta ou ausência de capacidade de aprendizagem organizacional,Barreiras organizacionais,Barreiras legais,GB03
GB0302d,Falta de compromisso com os programas,Barreiras organizacionais,Barreiras legais,GB03
GB0401a,Falta de informação sobre os projetos SbN,Lacunas de conhecimento - Medo do desconhecido,Barreiras socioculturais,GB04
GB0401b,Preocupação com a participação dos skatistas e o impacto das interações entre o homem e a natureza,Lacunas de conhecimento - Medo do desconhecido,Barreiras socioculturais,GB04
GB0401c,Incertezas sobre a implantação e manutenção das SbN,Lacunas de conhecimento - Medo do desconhecido,Barreiras socioculturais,GB04
GB0402a,Falta de conscientização sobre as mudanças climáticas e os benefícios que as SbN trazem para os residentes da cidade,Falta de conscientização,Barreiras socioculturais,GB04
GB0403a,As SbN podem aumentar o valor imobiliário dos terrenos,Gentrificação ecológica e inclusão social,Barreiras socioculturais,GB04
GB0404a,A cidade reduziu seu crescimento: os esforços de investimento são dedicados principalmente a fins econômicos,Paradigma de crescimento,Barreiras socioculturais,GB04
GB0501a,A cidade não pode apoiar o monitoramento das SbN e sua avaliação,Percepção da valorização dos ecossistemas,Barreiras financeiras,GB05
GB0502a,Não há oportunidades para acordos de parceria público-privada,Parceria público-privada,Barreiras financeiras,GB05
