ID,SbN,Idoneidad,Barriers,WS,Other
1,Conservación del Bosque,1,0,0,0
2,Restauración pasiva,1,0,0,0
3,Restauración activa - Enriquecimiento,1,0,0,0
4,Nucleación,1,0,0,0
5,Restauración Riparia,1,0,0,0
6,Llanuras de Inundación,1,0,0,0
7,Renaturalización,1,0,0,0
8,Area de Filtro Verde,1,0,0,0
9,Canales Vegetados,1,0,0,0
10,Estaques de bioretención,1,0,0,0
11,Humedales Artificiales,1,0,0,0
12,Jardines de lluvia,1,0,0,0
13,Zanjas de Infiltración,1,0,0,0
14,Espacios Verdes,1,0,0,0
15,Parque inundable,1,0,0,0
16,Pavimentos Verdes Adaptados,1,0,0,0
17,Silvicultura,1,0,0,0
18,Techos Verdes,1,0,0,0
19,Vías ciclo-pedestres con pavimento verde,1,0,0,0
20,Agroforestería,1,0,0,0
21,Cosecha de Agua,1,0,0,0
