ID,Categoria,Subcategoria,Actividad,Objetivo
1,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,A.1.1.1. Improvement of water resource collection planning and management. Sustainable blue economy: Classify whether the source of collection is the sea or coastal wells.,A. Climate change adaptation
2,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,A.1.1.2. Installation of equipment for capturing and storing domestic rainwater.,A. Climate change adaptation
3,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,"A.1.1.3. Installation of new drinking water connections and/or rehabilitation of water distribution networks. Sustainable blue economy: Classify whether the source of collection is the sea or coastal wells, and involves desalination processes.",A. Climate change adaptation
4,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,A.1.1.4. Activities to provide water for agricultural irrigation and strengthen food and nutritional security (FNS).,A. Climate change adaptation
5,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,"A.1.1.5. Demand-side actions that help improve consumption (efficiency), reduce the water footprint, and/or promote the circular economy. Sustainable blue economy: Classified when seawater is used in industrial processes as an alternative to reduce drinking water consumption.",A. Climate change adaptation
6,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,A.1.1.6. Measures for the active control of water leaks.,A. Climate change adaptation
7,A.1. Water Management and Supply and Sanitation,A.1.1. Measures that contribute to improving access to and/or efficient use of water.,A.1.1.7. Other measures that contribute to improving access to and/or efficient use of water.,A. Climate change adaptation
8,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.",A.2.1.1. Increasing the production of forage crops to supplement the diet from pastures whose quality or quantity has been affected by climate change.,A. Climate change adaptation
9,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.","A.2.1.2. Conservation agriculture to prevent the loss of arable land and at the same time regenerate degraded land, promoting the maintenance of permanent soil cover, minimum tillage, and crop diversification.",A. Climate change adaptation
10,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.","A.2.1.3. New and/or rehabilitated irrigation infrastructure, or measures for water capture and storage in rural areas. Sustainable blue economy: Classify when crops are irrigated with seawater, without affecting soil quality.",A. Climate change adaptation
11,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.","A.2.1.4. Adoption of techniques for sustainable fishing, mariculture, or aquaculture. Sustainable blue economy: Classified when it involves sustainable marine fishing or mariculture.",A. Climate change adaptation
12,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.",A.2.1.5. Sustainable livestock production based on good practices to improve productivity in the face of climate change impacts. Sustainable blue economy: Classified when seawater or other marine resources are used as a dietary supplement.,A. Climate change adaptation
13,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.",A.2.1.6. Technology-based measures that boost the productivity of smart agriculture in the face of climate change. Sustainable blue economy: Classify whether technologies use seawater or marine genetic resources for agriculture that is more resilient to climate change.,A. Climate change adaptation
14,"A.2. Agriculture, land use, livestock farming, fishing, mariculture, or aquaculture","A.2.1. Measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems.","A.2.1.7. Other measures that contribute to maintaining or improving the productivity of agricultural, livestock, fishing, mariculture, or marine or continental aquaculture systems. Sustainable blue economy: Classify when other measures contribute to sustainably maintaining or improving the productivity of marine fishing or sustainable mariculture.",A. Climate change adaptation
15,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,"A.3.1.1. Improving slope management in watersheds to adapt to increased soil erosion caused by flooding due to excessive rainfall. Sustainable blue economy: Classified when it has a positive impact on the marine-coastal area, such as mitigating sedimentation, reducing pollution, and/or reducing erosion processes on the coast.",A. Climate change adaptation
16,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,"A.3.1.2. Planting and/or ecological restoration of mangroves, seagrasses, corals, and/or native coastal vegetation to build a natural barrier to adapt to increased coastal erosion and/or limit saltwater intrusion into soils caused by sea level rise. The activity always qualifies as sustainable blue economy.",A. Climate change adaptation
17,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,"A.3.1.3. Restoration and integrated management of watersheds and sub-watersheds. Sustainable blue economy: When it generates a positive impact on the marine-coastal area, such as mitigating sedimentation, reducing pollution, and/or reducing coastal erosion processes.",A. Climate change adaptation
18,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,A.3.1.4. Recovery and/or reforestation of urban forests that perform vital functions for sustainability and contribute to climate risk mitigation. Sustainable blue economy: Classified when it involves forest plantations with native species adapted to marine-coastal environments.,A. Climate change adaptation
19,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,A.3.1.5. Filter gardens in urban water bodies to reduce the risk of flooding. Sustainable blue economy: Classified when it involves forest plantations with native species adapted to marine-coastal environments.,A. Climate change adaptation
20,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,A.3.1.6. Investment in vegetation cover to control soil erosion and reduce climate risk from landslides. Sustainable blue economy: Classified when it involves forest plantations with native species adapted to marine-coastal environments.,A. Climate change adaptation
21,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,"A.3.1.7. Forest plantations with certified management plans (i.e., afforestation and reforestation) that contribute to mitigating climate impact risk. Sustainable blue economy: Classified when it involves forest plantations with native species adapted to marine-coastal environments.",A. Climate change adaptation
22,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,A.3.1.8. Conservation and/or recharge of aquifers or wetlands. Sustainable blue economy: Classified when involving coastal aquifers or wetlands.,A. Climate change adaptation
23,A.3. Ecosystem-based adaptation,A.3.1. Use of biodiversity and ecosystem services to reduce vulnerability and physical climate risk.,A.3.1.9. Other activities using biodiversity and ecosystem services to reduce vulnerability and physical climate risk. Sustainable blue economy: Classified when it involves marine coastal biodiversity or ecosystem services.,A. Climate change adaptation
24,A.4. Resilient infrastructure for the adaptation of the population to adverse climate change events,"A.4.1. Construction, maintenance, or rehabilitation of infrastructure to strengthen the resilience of coastal or island populations to the impacts of climate change.","A.4.1.1. Construction, maintenance, or rehabilitation of green or gray infrastructure, built with climate risk considerations, that strengthens the climate resilience of coastal or island communities. The activity always classifies as sustainable blue economy.",A. Climate change adaptation
25,A.4. Resilient infrastructure for the adaptation of the population to adverse climate change events,"A.4.1. Construction, maintenance, or rehabilitation of infrastructure to strengthen the resilience of coastal or island populations to the impacts of climate change.","A.4.1.2. Construction, maintenance, or rehabilitation of green or gray infrastructure, built with climate risk considerations, that contributes to the sustainability of productive sectors or economic activities associated with the sea. The activity always classifies as sustainable blue economy.",A. Climate change adaptation
26,A.4. Resilient infrastructure for the adaptation of the population to adverse climate change events,"A.4.2. Construction, maintenance, and rehabilitation of infrastructure to strengthen the resilience of continental populations.","A.4.2.1. Construction, maintenance, or rehabilitation of green or gray infrastructure, built with climate risk considerations, that strengthens the climate resilience of communities. ",A. Climate change adaptation
27,A.4. Resilient infrastructure for the adaptation of the population to adverse climate change events,"A.4.3. Construction, maintenance, and rehabilitation of resilient road infrastructure that mitigates climate risk for communities.","A.4.3.1. Construction, maintenance, or rehabilitation of resilient roads, highways, or bridges that improve the inclusion and connectivity of rural and vulnerable communities to urban centers, facilitating access to workplaces, educational and health centers, as well as transit to other areas in the event of extreme weather events. Sustainable blue economy: Classify whether it improves the inclusion and connectivity of coastal communities vulnerable to climate change.",A. Climate change adaptation
28,A.4. Resilient infrastructure for the adaptation of the population to adverse climate change events,"A.4.3. Construction, maintenance, and rehabilitation of resilient road infrastructure that mitigates climate risk for communities.",A.4.3.2. Resilient transport or road infrastructure projects that contribute to food and nutrition security (FNS) by improving or ensuring adequate food distribution channels from rural production areas to urban centers. Sustainable blue economy: Classifies when it contributes to the food and nutrition security of coastal communities through value chains associated with fishing or mariculture.,A. Climate change adaptation
29,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,"A.5.1. Construction, maintenance, or rehabilitation of resilient social infrastructure.","A.5.1.1. Construction, maintenance, or rehabilitation of hospitals or health centers that guarantee sustainable access to medical services for vulnerable communities in areas of medium or high climate risk.",A. Climate change adaptation
30,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,"A.5.1. Construction, maintenance, or rehabilitation of resilient social infrastructure.","A.5.1.2. Construction, maintenance, or rehabilitation of climate-resilient educational centers that positively transform the conditions of preschool or elementary school educational spaces, facilitating access, retention, and educational quality for vulnerable communities in areas of medium or high climate risk.",A. Climate change adaptation
31,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,"A.5.1. Construction, maintenance, or rehabilitation of resilient social infrastructure.",A.5.1.3. Construction of resilient infrastructure that allows access to basic electricity services for communities and/or areas that are not interconnected.,A. Climate change adaptation
32,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,"A.5.1. Construction, maintenance, or rehabilitation of resilient social infrastructure.","A.5.1.4. Other activities involving the construction, maintenance, or rehabilitation of resilient social infrastructure.",A. Climate change adaptation
33,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,A.5.2. Investment in technology and research to improve social services provided to vulnerable communities.,"A.5.2.1. Telemedicine systems that increase the coverage, governance, equity, and efficiency of public health services, improving diagnosis and a 24/7 care and monitoring system for patients from vulnerable communities in areas with medium or high climate risk.",A. Climate change adaptation
34,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,A.5.2. Investment in technology and research to improve social services provided to vulnerable communities.,"A.5.2.2. Investment in research for innovation in the area of health, in order to prevent and mitigate cases of diseases caused or aggravated by climate change.",A. Climate change adaptation
35,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,A.5.2. Investment in technology and research to improve social services provided to vulnerable communities.,"A.5.2.3. Digital transformation that promotes ""educational technology"" in vulnerable communities. ",A. Climate change adaptation
36,A.5. Resilient social infrastructure or systems for the provision of social services that give the population greater adaptive capacity or reduce its sensitivity to the impacts of climate change,A.5.2. Investment in technology and research to improve social services provided to vulnerable communities.,A.5.2.4. Other investments in technology and digital transformation that strengthen the climate resilience of vulnerable communities.,A. Climate change adaptation
37,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,A.6.1.1. National Adaptation Plans; Local Adaptation Plans; and/or National Sectoral Adaptation Plans.,A. Climate change adaptation
38,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,"A.6.1.2. Policies, plans, and strategies for disaster risk prevention and management in the face of extreme weather events.",A. Climate change adaptation
39,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,A.6.1.3. Climate risk and/or climate vulnerability assessments at the territorial or sectoral level.,A. Climate change adaptation
40,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,A.6.1.4. Inter-institutional coordination for the fulfillment of climate commitments and implementation of measures and/or projects for resilience.,A. Climate change adaptation
41,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,A.6.1.5. Early warning and monitoring systems or platforms that enable better management and preparedness and strengthen resilience to extreme hydrometeorological phenomena and changes in climate patterns.,A. Climate change adaptation
42,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,"A.6.1.6. Development of Green Protocols; National Green or Sustainable Taxonomies; design or structuring of innovative financial instruments, environmental assets, among others; systems for exposing Systemic Climate Risks in the portfolios of financial institutions; or other tools that contribute to the strengthening of Sustainable Financial Systems.",A. Climate change adaptation
43,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,"A.6.1.7. Investments in digital transformation, addressing the development or combination of advances (such as the Internet of Things, robotization, or artificial intelligence) that enable the application of innovative and efficient solutions for climate adaptation.",A. Climate change adaptation
44,A.6. Other issues that strengthen adaptive capacity,A.6.1. Institutional strengthening.,A.6.1.8. Other institutional strengthening activities for climate adaptation.,A. Climate change adaptation
45,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.",A.6.2.1. Specific budgetary support to national or local authorities for the implementation of climate change adaptation policy.,A. Climate change adaptation
46,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.","A.6.2.2. Insurance and other financial protection measures aimed at mitigating loss and damage caused by climate-related or climate-triggered phenomena, particularly extreme hydrometeorological events.",A. Climate change adaptation
47,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.","A.6.2.3. Payments for ecosystem services (conservation of water sources, forests, and biodiversity).",A. Climate change adaptation
48,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.",A.6.2.4. Actions aimed at increasing private sector participation in climate investment or financing processes in different sectors.,A. Climate change adaptation
49,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.","A.6.2.5. Lines of credit or funds managed by national development banks or other types of institutions with fiduciary capacity, in order to benefit small and medium-sized producers vulnerable to climate change.",A. Climate change adaptation
50,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.",A.6.2.6. Credit lines for climate disaster risk management.,A. Climate change adaptation
51,A.6. Other issues that strengthen adaptive capacity,"A.6.2. Budget support, incentives, and compensation.","A.6.2.7. Other budget support activities, incentives and compensation, and environmental asset markets.",A. Climate change adaptation
52,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,"A.6.3.1. Adaptation and resilience of infrastructure, socioeconomic systems, and ecosystems.",A. Climate change adaptation
53,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,A.6.3.2. Climate resilience approach in all areas of public management.,A. Climate change adaptation
54,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,A.6.3.3. Resilient value chains in production systems.,A. Climate change adaptation
55,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,A.6.3.4. Adaptation components in various types of projects and sectors to contribute to resilience.,A. Climate change adaptation
56,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,"A.6.3.5. Conservation or recovery of cultural heritage encompassing traditional or ancestral knowledge; expression of creativity, values, beliefs, among others.",A. Climate change adaptation
57,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,A.6.3.6. Financing and/or financial instruments for adaptation to climate change.,A. Climate change adaptation
58,A.6. Other issues that strengthen adaptive capacity,A.6.3. Capacities and knowledge management on climate risk and adaptation.,A.6.3.7. Other issues aimed at strengthening capacities and knowledge management on climate risk and adaptation.,A. Climate change adaptation
59,B.1. Sustainability and protection of water resources,"B.1.1. Water conservation. Sustainable blue economy: Classified when the action takes place in the sea, coastal lagoons, marshes, or estuaries.",B.1.1.1. Restoration and integrated management of watersheds and sub-watersheds.,B. Biodiversity and other environmental objectives
60,B.1. Sustainability and protection of water resources,"B.1.1. Water conservation. Sustainable blue economy: Classified when the action takes place in the sea, coastal lagoons, marshes, or estuaries.","B.1.1.2. Investment in remediation, recovery, and/or decontamination of surface or groundwater bodies.",B. Biodiversity and other environmental objectives
61,B.1. Sustainability and protection of water resources,"B.1.1. Water conservation. Sustainable blue economy: Classified when the action takes place in the sea, coastal lagoons, marshes, or estuaries.",B.1.1.3. Water quality monitoring and control.,B. Biodiversity and other environmental objectives
62,B.1. Sustainability and protection of water resources,"B.1.1. Water conservation. Sustainable blue economy: Classified when the action takes place in the sea, coastal lagoons, marshes, or estuaries.","B.1.1.4. Restoration of aquifers, wetlands, moors, or permafrost.",B. Biodiversity and other environmental objectives
