Code,Description
WS01,Potential occurrence of riverine flooding in the project area
WS02,Assessment of the relationship between water availability and demand in the study area
WS03,Assessment of sediment export in the study area
WS04,Assessment of nutrient export (nitrogen and phosphorus) in the study area
OC01,Carbon capture capacity and emission regulation in the study area
OC02,Resilience of the study area to the impacts of climate change
OC03,"Presence of airborne particulate matter (PM10, PM2.5) in the study area"
OC04,"Presence of nitrogen oxides in the air (NO, NO2) in the study area"
OC05,Tropospheric ozone formation in the study area
OC06,"Existence of green spaces that provide ecosystem services, urban biodiversity, and improved quality of life"
OC07,Management of compact and resilient urban development in the study area
OC08,Urban development planning in the study area
OC09,Opportunities to revitalize degraded spaces in the study area
OC10,Existence of collaborative governance models
OC11,Promotion of environmental awareness and connection with nature
OC12,Strengthening local identity and sense of belonging in the community
OC13,Equitable distribution of ecosystem benefits and services among different social groups
OC14,Level of inclusion and transparency in decision-making processes
OC15,"Integration of different identities, knowledge, and ways of life"
OC16,"Individual and collective capacities to act, decide, and sustain green spaces"
OC17,"Physical, mental, and social health of the population in the study area"
OC18,Availability of attractive and accessible spaces that encourage daily movement and exercise
OC19,Emotional health and subjective well-being of the population in the study area
OC20,"Availability of practical evidence on the economic, environmental, and social benefits of green infrastructure"
OC21,"Coordination between the public, private, academic, and community sectors"
OC22,Existence of legal frameworks and public policies that support sustainable urban development models
OC23,Early integration of environmental criteria into territorial planning 
OC24,Existence of financial mechanisms that promote conservation and sustainable use
OC25,Variety and variability of living organisms present in the study area
