Code,Description
WS01,Potencial ocurrencia de inundaciones fluviales en el área del proyecto
WS02,Evaluación de la relación entre la disponibilidad y la demanda de agua en el área de estudio
WS03,Evaluación de la exportación de sedimentos en el área de estudio
WS04,Evaluación de la exportación de nutrientes (nnitrógeno y fósforo) en el área de estudio
OC01,Capacidad de captura de carbono y regulación de emisiones en el área de estudio
OC02,Resiliencia del área de estudio frente a los impactos del cambio climático
OC03,"Presencia de partículas en suspensión en el aire (PM10, PM2.5) en el área de estudio"
OC04,"Presencia de óxidos de nitrógeno en el aire (NO, NO2) en el área de estudio"
OC05,Formación de ozono troposférico en el área de estudio
OC06,"Existencia de espacios verdes que aportan servicios ecosistémicos, biodiversidad urbana y mejora de calidad de vida"
OC07,Gestión del desarrollo urbano compacto y resiliente en el área de estudio
OC08,Planificación del desarrollo urbano en el área de estudio
OC09,Oportunidades para revitalizar espacios degradados en el área de estudio
OC10,Existencia de modelos de gobernanza colaborativa
OC11,Promoción de la conciencia ambiental y la conexión con la naturaleza
OC12,Fortalecimiento de la identidad local y el sentido de pertenencia en la comunidad
OC13,Distribución equitativa de beneficios y servicios ecosistémicos entre diferentes grupos sociales
OC14,Nivel de inclusión y transparencia en los procesos de toma de decisiones
OC15,"Integración de diferentes identidades, conocimientos y modos de vida"
OC16,"Capacidades individuales y colectivas para actuar, decidir y sostener espacios verdes"
OC17,"Salud física, mental y social de la población del área de estudio"
OC18,Disponibilidad de espacios atractivos y accesibles que incentivan el movimiento cotidiano y el ejercicio
OC19,Salud emocional y bienestar subjetivo de la población del área de estudio
OC20,"Disponibilidad de evidencia práctica sobre sus beneficios económicos, ambientales y sociales de las SbN"
OC21,"Articulación entre sectores público, privado, académico y comunitario"
OC22,Existencia de marcos legales y políticas públicas que apoyan modelos de desarrollo urbano sostenible
OC23,Integración temprana de criterios ambientales en la planificación territorial 
OC24,Existencia de mecanismos financieros que fomenten la conservación y el uso sostenible
OC25,Variedad y variabilidad de organismos vivos presentes en el área de estudio
