Code,Description
WS01,Potencial ocorrência de inundações fluviais na área do projeto
WS02,Avaliação da relação entre a disponibilidade e a demanda de água na área de estudo
WS03,Avaliação da exportação de sedimentos na área de estudo
WS04,Avaliação da exportação de nutrientes (nitrogênio e fósforo) na área de estudo
OC01,Capacidade de captura de carbono e regulação das emissões na área de estudo
OC02,Resiliência da área de estudo face aos impactos das alterações climáticas
OC03,"Presença de partículas em suspensão no ar (PM10, PM2,5) na área de estudo"
OC04,"Presença de óxidos de nitrogênio no ar (NO, NO2) na área de estudo"
OC05,Formação de ozônio troposférico na área de estudo
OC06,"Existência de espaços verdes que proporcionam serviços ecossistêmicos, biodiversidade urbana e melhoria da qualidade de vida"
OC07,Gestão do desenvolvimento urbano compacto e resiliente na área de estudo
OC08,Planejamento do desenvolvimento urbano na área de estudo
OC09,Oportunidades para revitalizar espaços degradados na área de estudo
OC10,Existência de modelos de governança colaborativa
OC11,Promoção da consciência ambiental e da conexão com a natureza
OC12,Fortalecimento da identidade local e do sentimento de pertença à comunidade
OC13,Distribuição equitativa dos benefícios e serviços ecossistêmicos entre diferentes grupos sociais
OC14,Nível de inclusão e transparência nos processos de tomada de decisão
OC15,"Integração de diferentes identidades, conhecimentos e modos de vida"
OC16,"Capacidades individuais e coletivas para agir, decidir e sustentar espaços verdes"
OC17,"Saúde física, mental e social da população da área de estudo"
OC18,Disponibilidade de espaços atraentes e acessíveis que incentivem o movimento diário e o exercício
OC19,Saúde emocional e bem-estar subjetivo da população da área de estudo
OC20,"Disponibilidade de evidências práticas sobre os benefícios econômicos, ambientais e sociais das SbN"
OC21,"Articulação entre os setores público, privado, acadêmico e comunitário"
OC22,Existência de marcos legais e políticas públicas que apoiem modelos de desenvolvimento urbano sustentável
OC23,Integração precoce de critérios ambientais no planejamento territorial 
OC24,Existência de mecanismos financeiros que promovam a conservação e o uso sustentável
OC25,Variedade e variabilidade dos organismos vivos presentes na área de estudo
